by-law	ordonanza
green roof	techo verde
gross floor area	superficie bruta construida
storey	piso
eco-roof	techo ecológico
incentive program	programa de incentivos
structural assessment	evaluación estructural
grant	subsidio
application	solicitud
green roof 101	introducción a los techos verdes
cross section	muestra representativa
indepth	detallado
stormwater	aguas lluvias
floorspace	superficie
structural engineer	ingeniero de estructuras
trend	tendencia
policy trend	tendencia de las políticas
set out	exponer
roof space	superficie
floor area ratio	aprovechamiento tipo	https://es.wikipedia.org/wiki/Aprovechamiento_tipo
CAD	dólares canadienses
